

gen best mean std
0 3.203942 -4.014067 3.609173
1 3.203942 -3.996058 3.6
2 3.203942 -3.982216 3.593179
3 3.203942 -2.182216 4.397852
4 3.203942 -0.382216 4.392183
5 89.98272 20.559698 34.711511
6 89.98272 20.559698 34.711511
7 89.98272 54.64909 42.020141
8 89.98272 78.050825 23.86379
9 92.163558 89.967744 1.403083
10 92.163558 89.416755 2.860139
11 92.163558 90.607178 1.937151
12 92.347727 90.680846 1.997499
13 92.347727 89.749297 2.171212
14 92.512404 90.435305 2.485929
15 92.512404 90.112095 2.014905
16 92.512404 90.849386 2.07512
17 92.512404 75.056821 31.397583
18 92.512404 75.056821 31.397583
19 92.512404 74.511446 31.289785
20 92.512404 79.093631 24.515004
21 92.512404 90.86225 2.063676
22 92.512404 86.56444 10.251482
23 92.512404 91.196061 1.615957
24 92.512404 91.277408 1.531319
25 92.512404 72.478637 24.973999
26 92.512404 71.370551 24.527256
27 92.58272 91.041526 1.971527
28 92.718596 92.019673 1.111413
29 92.718596 81.956215 21.34171

gen best mean std
29 92.718596 81.956215 21.34171

gen best mean std
29 92.718596 81.956215 21.34171

gen best mean std
25 92.718596 81.956215 21.34171
26 92.718596 80.096877 20.526159
27 92.718596 81.068021 20.974164
28 92.718596 80.32571 20.611234
29 92.718596 80.363512 20.629905

gen best mean std
20 92.718596 80.363512 20.629905
21 92.718596 90.134282 2.124862
22 92.718596 91.028593 2.082942
23 92.718596 91.693102 1.983749
24 92.718596 90.902638 2.193937
25 92.769562 85.421168 9.813832
26 92.769562 90.500361 2.631565
27 92.769562 91.511829 1.573277
28 92.769562 90.658148 1.76543
29 92.769562 90.85308 1.618865

gen best mean std
10 92.769562 90.85308 1.618865
11 92.769562 82.63105 17.255354
12 92.769562 83.245361 17.539413
13 92.769562 58.274229 27.813084
14 92.769562 72.628736 23.789635
15 92.769562 83.304492 17.554598
