

gen best mean std
0 91.772379 15.866468 36.913709

gen best mean std
0 86.570654 8.021856 27.734847
1 90.563047 64.99838 29.173488
2 90.563047 77.6043 21.640459
3 90.563047 79.59367 18.003215
4 90.563047 80.117285 16.69994
5 90.563047 85.360322 9.745737
6 90.563047 85.643927 9.851176
7 91.196054 74.250012 28.620707
8 91.196054 80.78027 20.204638
9 91.196054 81.124644 20.34937
10 92.58272 88.080283 4.474261
11 92.58272 88.246786 4.567257
12 92.58272 84.842168 15.622323
13 92.58272 79.233849 22.62942
14 92.58272 78.876885 22.490426
15 92.58272 84.647087 15.264128
16 92.58272 89.544303 2.488824
17 92.58272 78.83677 18.598655
18 92.58272 77.984127 20.68164
19 92.58272 91.221495 1.899405
20 92.58272 86.216737 12.85686
21 92.58272 85.21963 13.307606
